"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"289",50.1,-3.9,"2022-06",10,26.31
"290",50.3,-4.2,"2022-12",7,31.99
"291",50.2,-4.4,"2022-10",7,85.22
"292",50.4,-4.1,"2022-01",4,1.98
"293",50,-4.4,"2022-11",3,5.16
"294",50.3,-4.2,"2022-09",12,48.71
"295",50.4,-4.5,"2022-07",1,182.55
"296",50,-4.2,"2022-01",14,73.85
"297",50.1,-4.5,"2022-11",19,72.53
"298",50.3,-4.4,"2022-02",7,28.58
"299",50,-4.1,"2022-05",8,42.59
"300",50.1,-4.2,"2022-08",16,399.08
"301",50.2,-4.1,"2022-04",14,78.86
"302",50.2,-4.3,"2022-08",16,158.89
"303",50.2,-4.6,"2022-01",6,12.56
"304",50.3,-4.5,"2022-10",5,25.42
"305",50.1,-4.4,"2022-03",17,253.05
"306",50.3,-4.3,"2022-01",17,108.8
"307",50.3,-4.6,"2022-08",1,0.77
"308",50,-4.3,"2022-09",9,38.4
"309",50.1,-3.9,"2022-05",9,40.15
"310",50.3,-4.2,"2022-11",6,24.1
"311",50,-4.4,"2022-12",2,2.03
"312",50.4,-4.1,"2022-02",5,1.68
"313",50.1,-4.5,"2022-09",22,141.27
"314",50.1,-4.2,"2022-10",21,262.11
"315",50.2,-4,"2022-04",20,162.41
"316",50.3,-3.9,"2022-04",4,45
"317",50.3,-4.5,"2022-08",4,52.08
"318",50.2,-4.3,"2022-10",16,125.6
"319",50,-4.3,"2022-11",15,49.1
"320",50.2,-4.5,"2022-01",13,51.71
"321",50.3,-4.6,"2022-10",2,2
"322",50,-4.1,"2022-06",7,27.03
"323",50.2,-4.1,"2022-07",16,61.41
"324",50.2,-4.6,"2022-02",7,9.92
"325",50.3,-4.3,"2022-02",8,28.44
"326",50.2,-4.2,"2022-03",20,155.03
"327",50,-4.2,"2022-02",9,39.62
"328",50.4,-4.5,"2022-04",2,23
"329",50.1,-4.3,"2022-03",17,359.4
"330",50.2,-4.4,"2022-08",10,68.54
"331",50,-4.4,"2022-09",3,2.79
"332",50.1,-4.5,"2022-12",9,36.45
"333",50.3,-4.4,"2022-01",10,147.65
"334",50.1,-4.5,"2022-08",15,126.37
"335",50.4,-4.1,"2022-03",1,0.98
"336",50.2,-4.4,"2022-12",13,66.78
"337",50.3,-4.2,"2022-10",6,14.81
"338",50.1,-3.9,"2022-04",7,20.37
"339",50,-4.3,"2022-10",6,11.96
"340",50.3,-4.6,"2022-11",3,7.11
"341",50.4,-4.2,"2022-07",1,22.66
"342",50.3,-4.5,"2022-09",14,107.34
"343",50.2,-4.3,"2022-11",13,120.87
"344",50.3,-3.9,"2022-05",4,43.33
"345",50.1,-4.2,"2022-11",23,215.29
"346",50.2,-4,"2022-05",15,208.06
"347",50.3,-4.3,"2022-03",9,54.02
"348",50.1,-4.4,"2022-01",19,154.8
"349",50.3,-4.5,"2022-12",8,75.53
"350",50.2,-4.6,"2022-03",1,1.51
"351",50.2,-4.1,"2022-06",13,62.13
"352",50,-4.1,"2022-07",13,36.16
"353",50,-4.4,"2022-08",4,6.04
"354",50.1,-4.3,"2022-02",13,62.98
"355",50.2,-4.4,"2022-09",16,261.19
"356",50,-4.2,"2022-03",16,86.64
"357",50.4,-4.5,"2022-05",2,95.82
"358",50.2,-4.2,"2022-02",18,75.49
