"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"235",50.2,-4.6,"2023-10",7,20.41
"236",50.2,-4.5,"2023-08",15,121.77
"237",50.3,-4.3,"2023-10",15,96.39
"238",50.4,-4.4,"2023-04",1,0.04
"239",50.2,-3.9,"2023-04",5,122.2
"240",50.3,-4,"2023-04",2,16.16
"241",50.1,-4.4,"2023-09",17,246
"242",50.2,-4.3,"2023-02",13,108.16
"243",50,-4.3,"2023-03",11,26.86
"244",50.3,-4.6,"2023-02",1,1.01
"245",50.3,-4.1,"2023-07",5,27.94
"246",50.1,-4.2,"2023-02",19,207.74
"247",50.2,-4.4,"2023-01",9,79.61
"248",50.3,-4.4,"2023-08",15,276.56
"249",50.3,-4.2,"2023-03",3,24.29
"250",50.1,-4.1,"2023-06",12,103.19
"251",50,-4.2,"2023-11",14,92.64
"252",50.1,-4,"2023-04",15,67.91
"253",50.2,-4.2,"2023-10",18,119.74
"254",50.1,-4.5,"2023-01",11,32.07
"255",50.3,-4.4,"2023-12",5,27.22
"256",50.1,-4.3,"2023-10",19,156.63
"257",50.3,-4,"2023-05",1,25.58
"258",50.2,-3.9,"2023-05",6,255.51
"259",50.2,-4.5,"2023-09",12,102.35
"260",50.3,-4.3,"2023-11",10,48.49
"261",50.2,-4.6,"2023-11",4,9.76
"262",50.1,-4.2,"2023-03",16,152.3
"263",50.3,-4.1,"2023-06",8,35.19
"264",50,-4.3,"2023-02",14,48.14
"265",50.2,-4.5,"2023-12",11,88.5
"266",50.3,-4.6,"2023-03",3,3.92
"267",50.1,-4.4,"2023-08",17,207.83
"268",50.2,-4.3,"2023-03",11,67.4
"269",50.1,-4.1,"2023-07",20,476.46
"270",50.3,-4.2,"2023-02",6,22.39
"271",50,-4.4,"2023-01",1,1.16
"272",50.3,-4.4,"2023-09",17,245.06
"273",50.4,-4.1,"2023-11",3,0.84
"274",50,-4.3,"2023-05",5,41.39
"275",50.3,-4.6,"2023-04",2,4.03
"276",50.2,-4.3,"2023-04",13,72.75
"277",50.2,-4.1,"2023-08",18,175.77
"278",50.3,-3.9,"2023-10",1,2.76
"279",50.1,-4.2,"2023-04",17,210.44
"280",50.3,-4.1,"2023-01",6,25.94
"281",50.2,-4,"2023-10",21,113.23
"282",50,-4.1,"2023-09",8,15.65
"283",50,-4.4,"2023-06",1,1.72
"284",50.2,-4.4,"2023-07",10,55.89
"285",50.3,-4.2,"2023-05",11,27.81
"286",50.1,-3.9,"2023-11",3,16.5
"287",50.1,-4.5,"2023-06",12,51.15
"288",50.4,-4.5,"2023-10",1,21.13
"289",50.1,-4,"2023-03",12,57.61
"290",50.3,-4.5,"2023-07",13,235.51
"291",50.3,-4,"2023-02",3,19.71
"292",50.2,-3.9,"2023-02",5,53.74
"293",50,-4.1,"2023-12",6,12.92
"294",50.1,-4.2,"2023-05",11,76.11
"295",50,-4.1,"2023-08",7,25.49
"296",50.2,-4,"2023-11",17,85.62
"297",50.2,-4.1,"2023-09",18,234.27
"298",50.3,-3.9,"2023-11",1,1.93
"299",50.2,-4.3,"2023-05",12,113.8
"300",50,-4.3,"2023-04",14,59.84
"301",50.3,-4.6,"2023-05",6,7.4
"302",50.1,-3.9,"2023-10",4,27.16
"303",50.3,-4.2,"2023-04",9,36.59
"304",50.1,-4.1,"2023-01",17,152.7
"305",50.2,-4.4,"2023-06",8,191.21
"306",50,-4.4,"2023-07",3,4.5
"307",50.1,-4,"2023-02",13,106.19
"308",50.1,-4.5,"2023-07",13,81.5
"309",50.2,-3.9,"2023-03",5,55.5
"310",50.2,-4.1,"2023-12",15,70.17
"311",50.3,-4,"2023-03",2,9.97
"312",50.3,-4.5,"2023-06",6,101.95
"313",50.4,-4.2,"2023-08",2,34.01
"314",50.3,-4.2,"2023-07",13,61.85
"315",50.4,-4.5,"2023-09",1,19.04
"316",50.1,-4.1,"2023-02",21,218.62
"317",50.2,-4.4,"2023-05",12,71.43
"318",50,-4.4,"2023-04",2,4
"319",50.2,-4,"2023-12",15,65.97
"320",50.3,-4.1,"2023-03",5,28.47
"321",50.1,-4.2,"2023-06",17,163.63
"322",50.3,-3.9,"2023-12",1,5.59
"323",50.2,-4.3,"2023-06",15,182.36
"324",50.4,-4.2,"2023-10",1,0.1
"325",50.3,-4.6,"2023-06",2,3.75
"326",50,-4.3,"2023-07",10,51.06
"327",50,-4.1,"2023-10",9,29.41
"328",50.2,-4,"2023-09",18,99.39
"329",50.3,-3.9,"2023-09",3,21.28
"330",50.2,-4.1,"2023-11",19,112.67
"331",50.3,-4.5,"2023-05",8,99.22
"332",50.1,-4,"2023-01",15,123.3
"333",50.1,-3.9,"2023-08",6,28.38
"334",50.1,-4.5,"2023-04",13,51.42
"335",50,-4.4,"2023-05",2,2.83
"336",50.2,-4.4,"2023-04",8,27.76
"337",50.1,-4.1,"2023-03",22,192.67
"338",50.4,-4.5,"2023-08",3,82.87
"339",50.3,-4.2,"2023-06",10,35.54
"340",50.1,-3.9,"2023-12",4,8.95
"341",50.3,-4.6,"2023-07",5,11.15
"342",50,-4.3,"2023-06",6,43.59
"343",50.2,-4.3,"2023-07",19,133.39
