"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"274",68.7,17.2,"2023-11",4,33.51
"275",69.1,17.5,"2023-10",1,0.16
"276",68.9,17.6,"2023-01",1,17.45
"277",68.9,16.9,"2023-10",2,1.51
"278",68.7,16.8,"2023-02",1,1.99
"279",69.1,17.6,"2023-09",2,27.73
"280",68.9,17.2,"2023-02",1,0.2
"281",68.9,17.6,"2023-06",3,2.86
"282",69,16.8,"2023-04",1,4.86
"283",69,17.3,"2023-11",5,64.92
"284",68.7,17.1,"2023-10",1,2.19
"285",68.8,17.2,"2023-12",2,0.72
"286",69,17.1,"2023-11",1,2.74
"287",68.7,17.3,"2023-10",1,2.01
"288",69.1,17.3,"2023-10",2,0.39
"289",68.9,17.2,"2023-05",1,0.5
"290",68.9,16.7,"2023-10",3,7.34
"291",68.7,17,"2023-12",2,2.12
"292",69,16.6,"2023-04",1,0.36
"293",68.8,16.7,"2023-07",4,20.28
"294",69.1,16.9,"2023-04",1,0.09
"295",68.8,17.2,"2023-09",6,28.69
"296",68.8,16.6,"2023-01",10,51.26
"297",68.9,17.1,"2023-03",2,9.67
"298",68.7,17,"2023-09",4,10.75
"299",69.1,17.4,"2023-11",5,21.02
"300",69,17.4,"2023-10",1,1.13
"301",69,17,"2023-08",1,1.94
"302",68.8,16.8,"2023-01",14,56.98
"303",68.9,17,"2023-01",5,13.05
"304",69.1,16.7,"2023-03",1,0.41
"305",69,17.3,"2023-10",2,16.25
"306",68.7,17.1,"2023-11",6,31.79
"307",69,17,"2023-12",1,0.56
"308",69,16.8,"2023-05",2,1.2
"309",68.8,16.9,"2023-01",11,159.11
"310",68.8,16.7,"2023-06",3,5.12
"311",69,16.6,"2023-05",1,1.2
"312",68.9,16.7,"2023-11",3,60.72
"313",69.1,16.8,"2023-04",1,0.05
"314",69.1,17.3,"2023-11",2,14.02
"315",69,17.1,"2023-10",1,4.72
"316",68.7,17.3,"2023-11",2,9.12
"317",69.1,17.4,"2023-10",2,7.85
"318",68.9,17.1,"2023-02",8,45.8
"319",68.7,16.9,"2023-05",1,1.27
"320",68.8,17.5,"2023-09",1,4.77
"321",69.1,16.9,"2023-05",1,0.26
"322",69,16.9,"2023-04",2,9.02
"323",68.9,17.7,"2023-01",1,1.04
"324",69,17.4,"2023-11",5,21.95
"325",68.9,17.3,"2023-02",1,2.04
"326",69.1,17.4,"2023-08",4,48.04
"327",68.8,16.7,"2023-05",1,2.1
"328",68.7,17,"2023-10",2,12.5
"329",68.9,16.7,"2023-12",3,39.54
"330",69.1,17,"2023-10",1,0.36
"331",68.8,17.5,"2023-11",1,7.03
"332",69.1,17.3,"2023-12",3,2.24
"333",68.7,17.3,"2023-12",2,5.35
"334",68.9,17.5,"2023-06",2,6.63
"335",68.8,17.2,"2023-10",2,44.3
"336",68.7,17.1,"2023-12",5,12.34
"337",69,16.8,"2023-06",2,1.53
"338",69,17,"2023-11",1,3.99
"339",68.8,16.9,"2023-02",5,36.31
"340",69,17.4,"2023-09",6,34.73
"341",68.9,17,"2023-03",1,0.47
"342",68.7,17.1,"2023-09",6,16.29
"343",69,17.3,"2023-08",2,20.55
"344",68.8,16.8,"2023-03",2,7.29
"345",69,17.4,"2023-12",3,6.5
"346",68.9,17.3,"2023-01",3,9.45
"347",68.9,16.7,"2023-09",2,3.8
"348",68.9,17.1,"2023-01",10,29.15
"349",69.1,17.3,"2023-09",2,3.8
"350",68.7,16.9,"2023-06",3,37.81
"351",68.7,17.3,"2023-09",3,13.83
"352",68.8,16.6,"2023-03",1,0.84
"353",69,17.1,"2023-08",1,0.23
"354",69.1,16.9,"2023-06",1,2.03
"355",68.8,17.2,"2023-11",5,12.55
"356",69,17.1,"2023-12",1,1.06
"357",68.9,17.2,"2023-06",1,1.74
"358",69.1,17,"2023-11",1,0.1
"359",69.1,16.8,"2023-06",1,0.07
"360",68.8,16.7,"2023-04",1,0.04
"361",69.1,17.4,"2023-09",4,14.29
"362",68.7,17,"2023-11",6,17.36
"363",69,17.4,"2023-08",2,3.86
"364",68.8,16.9,"2023-03",1,1.62
"365",69,16.8,"2023-07",2,6.88
"366",69,17,"2023-10",1,4.01
"367",68.9,17.4,"2023-01",2,25.49
"368",69,17.3,"2023-12",3,8.11
"369",68.7,17.1,"2023-08",2,5.29
"370",68.8,16.8,"2023-02",5,5.59
"371",69,17.3,"2023-09",3,67.02
"372",68.9,17,"2023-02",3,6.43
"373",69.1,16.9,"2023-07",1,4.42
"374",69,17.1,"2023-09",3,6.32
"375",68.8,16.6,"2023-02",2,3.28
"376",68.7,16.9,"2023-07",1,0.96
"377",68.9,16.7,"2023-08",1,0.83
"378",69.1,17.4,"2023-12",2,1.87
